	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	location_sampletype	Locationtype_fishtype	sampletype_speciestype	Diet	Diet_Classification	Habitats	Fake
G18	Lake_Erie	2	6.4	80	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	18
G19	Lake_Erie	2	15	120	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	19
G20	Lake_Erie	2	6.32	80	Gut	Round_Goby	Lake_ErieGut	Lake_ErieRound_Goby	GutRound_Goby	Invertivore	B	Benthic	20
G21	Lake_Erie	2	0.15	35	Gut	Round_Goby	Lake_ErieGut	Lake_ErieRound_Goby	GutRound_Goby	Invertivore	B	Benthic	21
G22	Lake_Erie	2	26.3	130	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	22
G23	Lake_Erie	2	22	120	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	23
G24	Lake_Erie	2	21.6	130	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	24
G25	Lake_Erie	2	16.5	120	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	25
G26	Lake_Erie	2	29	160	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	26
G27	Lake_Erie	2	7.6	100	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	27
G28	Lake_Erie	2	12.2	120	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	28
G29	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	29
G30	Lake_Erie	2	8	120	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	30
G31	Lake_Erie	2	3.3	80	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	31
G32	Lake_Erie	2	13.2	90	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	32
G33	Lake_Erie	2	10	70	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	33
G34	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	34
G35	Lake_Erie	2	11	75	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	35
G36	Lake_Erie	2	15.2	99	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	36
G37	Lake_Erie	2	15.1	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	37
G38	Lake_Erie	2	14	90	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	38
G39	Lake_Erie	2	12	80	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	39
G40	Lake_Erie	2	29	130	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	40
G41	Lake_Erie	2	12	80	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	41
G42	Lake_Erie	2	13.5	90	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	42
G43	Lake_Erie	2	125	250	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	43
G44	Lake_Erie	2	50	170	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	44
G45	Lake_Erie	2	0.2	34	Gut	Round_Goby	Lake_ErieGut	Lake_ErieRound_Goby	GutRound_Goby	Invertivore	B	Benthic	45
G46	Lake_Erie	2	0.3	45	Gut	Round_Goby	Lake_ErieGut	Lake_ErieRound_Goby	GutRound_Goby	Invertivore	B	Benthic	46
G47	Lake_Erie	2	0.15	35	Gut	Round_Goby	Lake_ErieGut	Lake_ErieRound_Goby	GutRound_Goby	Invertivore	B	Benthic	47
G48	Lake_Erie	2	0.13	30	Gut	Round_Goby	Lake_ErieGut	Lake_ErieRound_Goby	GutRound_Goby	Invertivore	B	Benthic	48
G49	Lake_Erie	2	0.15	33	Gut	Round_Goby	Lake_ErieGut	Lake_ErieRound_Goby	GutRound_Goby	Invertivore	B	Benthic	49
G50	Lake_Erie	2	13	100	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	50
G51	Lake_Erie	2	11.5	90	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	51
G52	Lake_Erie	2	7	80	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	52
G53	Lake_Erie	2	10	85	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	53
G54	Lake_Erie	2	6	70	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	54
G55	Lake_Erie	2	5.5	70	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	55
G56	Lake_Erie	2	5.6	70	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	56
G57	Lake_Erie	2	6.2	70	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	57
G58	Lake_Erie	2	16.2	110	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	58
G59	Lake_Erie	2	15.5	110	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	59
G60	Lake_Erie	2	16	100	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	60
G61	Lake_Erie	2	7000	1320	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	61
G62	Lake_Erie	2	209	250	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	62
G63	Lake_Erie	2	544	350	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	63
G64	Lake_Erie	2	100	200	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	64
G65	Lake_Erie	2	24	125	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	65
G66	Lake_Erie	2	22.5	125	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	66
G67	Lake_Erie	2	24.5	125	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	67
G68	Lake_Erie	2	26	130	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	68
G69	Lake_Erie	2	22.6	120	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	69
G70	Lake_Erie	2	16.5	120	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	70
G71	Lake_Erie	2	27	130	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	71
G72	Lake_Erie	2	25	130	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	72
G73	Lake_Erie	2	35	150	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	73
G74	Lake_Erie	2	22	100	Gut	Freshwater_Drum	Lake_ErieGut	Lake_ErieFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	74
G75	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	75
G76	Lake_Erie	2	15.2	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	76
G77	Lake_Erie	2	15.5	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	77
G78	Lake_Erie	2	14.9	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	78
G79	Lake_Erie	2	15.3	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	79
G80	Lake_Erie	2	15.1	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	80
G81	Lake_Erie	2	14.4	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	81
G82	Lake_Erie	2	15.6	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	82
G83	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	83
G84	Lake_Erie	2	15.2	100	Gut	White_Perch	Lake_ErieGut	Lake_ErieWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	84
G86	Lake_Erie	2	11	90	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	85
G87	Lake_Erie	2	15	110	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	86
G88	Lake_Erie	2	16.2	110	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	87
G89	Lake_Erie	2	14	110	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	88
G90	Lake_Erie	2	20	150	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	89
G91	Lake_Erie	2	20	150	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	90
G97	Lake_Ontario	3	37.3	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	91
G99	Lake_Ontario	3	138.93	190	Gut	Rock_Bass	Lake_OntarioGut	Lake_OntarioRock_Bass	GutRock_Bass	Invertivore_carnivores	C	Benthopelagic	92
G100	Lake_Ontario	3	249.95	216	Gut	Rock_Bass	Lake_OntarioGut	Lake_OntarioRock_Bass	GutRock_Bass	Invertivore_carnivores	C	Benthopelagic	93
G108	Lake_Ontario	3	54.33	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	94
G110	Lake_Ontario	3	181.69	203	Gut	Rock_Bass	Lake_OntarioGut	Lake_OntarioRock_Bass	GutRock_Bass	Invertivore_carnivores	C	Benthopelagic	95
G111	Lake_Ontario	3	95.44	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	96
G112	Lake_Ontario	3	37.38	140	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	97
G119	Lake_Ontario	3	35.58	135	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	98
G120	Lake_Ontario	3	35.5	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	99
G122	Lake_Ontario	3	337.57	NA	Gut	White_Sucker	Lake_OntarioGut	Lake_OntarioWhite_Sucker	GutWhite_Sucker	Invertivore_detritivore	D	Benthic	100
G130	Lake_Ontario	3	33.22	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	101
G133	Lake_Ontario	3	146.6	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	102
G135	Lake_Ontario	3	33.94	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	103
G138	Lake_Ontario	3	32.62	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	104
G139	Lake_Ontario	3	32.76	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	105
G144	Lake_Ontario	3	34.55	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	106
G145	Lake_Ontario	3	41.44	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	107
G148	Lake_Ontario	3	20.57	NA	Gut	Gizzard_Shad	Lake_OntarioGut	Lake_OntarioGizzard_Shad	GutGizzard_Shad	Herbivore	A	Pelagic	108
G149	Lake_Ontario	3	355.62	320	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	109
G150	Lake_Ontario	3	53.24	NA	Gut	Pumpkinseed	Lake_OntarioGut	Lake_OntarioPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	110
G151	Lake_Ontario	3	64.24	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	111
G152	Lake_Ontario	3	992.63	NA	Gut	Gizzard_Shad	Lake_OntarioGut	Lake_OntarioGizzard_Shad	GutGizzard_Shad	Herbivore	A	Pelagic	112
G153	Lake_Ontario	3	30.63	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	113
G154	Lake_Ontario	3	56.28	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	114
G155	Lake_Ontario	3	72.59	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	115
G156	Lake_Ontario	3	31.18	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	116
G157	Lake_Ontario	3	58.55	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	117
G158	Lake_Ontario	3	35.39	NA	Gut	Pumpkinseed	Lake_OntarioGut	Lake_OntarioPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	118
G159	Lake_Ontario	3	31.07	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	119
G160	Lake_Ontario	3	150.58	NA	Gut	Walleye	Lake_OntarioGut	Lake_OntarioWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	120
G161	Lake_Ontario	3	33.14	NA	Gut	Pumpkinseed	Lake_OntarioGut	Lake_OntarioPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	121
G162	Lake_Ontario	3	31.31	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	122
G163	Lake_Ontario	3	31.31	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	123
G164	Lake_Ontario	3	179.61	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	124
G165	Lake_Ontario	3	35.05	NA	Gut	Pumpkinseed	Lake_OntarioGut	Lake_OntarioPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	125
G166	Lake_Ontario	3	35.29	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	126
G167	Lake_Ontario	3	340.82	NA	Gut	Walleye	Lake_OntarioGut	Lake_OntarioWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	127
G168	Lake_Ontario	3	59.75	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	128
G169	Lake_Ontario	3	75.75	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	129
G170	Lake_Ontario	3	NA	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	130
G172	Lake_Ontario	3	185.86	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	131
G173	Lake_Ontario	3	154.32	241	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	132
G174	Lake_Ontario	3	578.84	411	Gut	Walleye	Lake_OntarioGut	Lake_OntarioWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	133
G175	Lake_Ontario	3	121.43	224	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	134
G176	Lake_Ontario	3	153.7	242	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	135
G177	Lake_Ontario	3	135.66	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	136
G179	Lake_Ontario	3	89.32	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	137
G180	Lake_Ontario	3	120.98	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	138
G181	Lake_Ontario	3	50.14	NA	Gut	Pumpkinseed	Lake_OntarioGut	Lake_OntarioPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	139
G182	Lake_Ontario	3	64.76	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	140
G183	Lake_Ontario	3	66.41	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	141
G184	Lake_Ontario	3	71.42	NA	Gut	White_Bass	Lake_OntarioGut	Lake_OntarioWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	142
G196	Lake_Ontario	3	36.07	137	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	143
G197	Lake_Ontario	3	1308.25	489	Gut	Walleye	Lake_OntarioGut	Lake_OntarioWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	144
G198	Lake_Ontario	3	2335.69	588	Gut	Walleye	Lake_OntarioGut	Lake_OntarioWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	145
G204	Lake_Ontario	3	97.61	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	146
G208	Lake_Ontario	3	4963.61	752	Gut	Walleye	Lake_OntarioGut	Lake_OntarioWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	147
G217	Lake_Ontario	3	92.58	NA	Gut	Yellow_Perch	Lake_OntarioGut	Lake_OntarioYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	148
G218	Lake_Ontario	3	150.6	238	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	149
G219	Lake_Ontario	3	167.28	250	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	150
G220	Lake_Ontario	3	119.42	225	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	151
G221	Lake_Ontario	3	183.59	262	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	152
G222	Lake_Ontario	3	708.1	407	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	153
G223	Lake_Ontario	3	337.57	NA	Gut	White_Sucker	Lake_OntarioGut	Lake_OntarioWhite_Sucker	GutWhite_Sucker	Invertivore_detritivore	D	Benthic	154
G224	Lake_Ontario	3	64.02	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	155
G225	Lake_Ontario	3	77.41	NA	Gut	White_Perch	Lake_OntarioGut	Lake_OntarioWhite_Perch	GutWhite_Perch	Invertivore_carnivores	C	Benthopelagic	156
G226	Lake_Ontario	3	139.44	230	Gut	Freshwater_Drum	Lake_OntarioGut	Lake_OntarioFreshwater_Drum	GutFreshwater_Drum	Invertivore_carnivores	C	Benthic	157
