Sample_Id	Sample	Locations	Fishname	Diet	Habitats	Weight	shannon_entropy	Chao1	PD	  Axis 1	   Axis 2	   Axis 3	  Axis 4	   Axis 5	Pres
13	G13	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.83	5.400097254	1.91	1.22	-2.9835	-19.152	1.8822	0.5331	18.081	No
14	G14	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.21	4.804058833	1.96	1.24	26.351	-11.541	19.462	-5.8195	-4.5856	No
15	G15	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.19	3.076201172	1.46	0.81	-25.849	-33.854	-3.8607	3.2947	5.8867	No
16	G16	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.04	6.140628678	2.32	1.45	20.743	-3.2383	5.3405	2.475	-22.114	No
17	G17	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.76	4.90454369	1.85	1.17	9.5331	-21.83	1.7483	-2.9052	16.891	No
18	G18	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.81	5.594167137	2.22	1.48	18.216	-17.183	10.874	-1.7557	-11.799	No
19	G19	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.18	4.225343039	1.59	1.03	34.846	-6.8472	12.641	-5.843	19.985	No
20	G20	Lake_Erie	Round_Goby	Invertivore	Benthic	1.8	4.626667024	1.81	1.15	42.723	-3.1209	6.7964	5.8951	6.092	No
21	G21	Lake_Erie	Round_Goby	Invertivore	Benthic	0.18	5.198149547	2.01	1.28	12.205	-22.675	12.153	-3.0243	7.6775	No
22	G22	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.42	5.786994028	2.04	1.29	-1.7345	-13.5	-18.259	9.039	6.3585	No
23	G23	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.34	4.54466612	1.82	1.01	-21.611	-19.372	-13.089	4.2479	-3.9673	No
24	G24	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.33	5.361459461	2.09	1.29	22.73	8.582	-24.805	15.365	0.29868	No
25	G25	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.22	5.897981162	2.09	1.32	30.704	3.8548	-14.269	11.937	1.2673	No
26	G26	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.46	4.354635947	1.72	1.07	-23.445	-35.781	-3.1761	2.3148	8.5358	No
27	G27	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	1.88	4.658881597	1.74	1.12	40.836	-3.3006	1.8398	2.9438	21.877	No
28	G28	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.09	3.897103726	2.25	1.46	21.317	7.7515	-9.4425	11.604	-12.7	No
29	G29	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.28	2.602008574	1.67	1.11	5.6732	3.7831	-8.5187	-3.3889	17.529	No
30	G30	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	1.9	4.353171292	1.64	1.06	40.461	-3.5486	6.8257	-2.2375	15.665	No
31	G31	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	1.52	3.954706219	1.45	0.8	38.594	-3.8427	7.9372	-4.1978	24.842	No
32	G32	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.12	5.058824149	1.91	1.27	39.041	-3.9507	2.2482	6.1006	17.872	No
33	G33	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2	4.266510782	1.67	1.08	41.434	-5.4236	8.9256	-1.2449	19.544	No
34	G34	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	5.090460472	1.96	1.27	28.649	-5.6873	-0.48763	10.812	5.8682	No
35	G35	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.04	4.969722361	1.85	1.17	38.726	-0.75257	-5.005	11.668	9.9204	No
36	G36	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	5.786285885	2.08	1.33	16.252	-6.6727	-13.695	15.458	5.5374	No
37	G37	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	4.71526626	1.64	0.96	22.302	0.54695	-10.119	11.571	25.246	No
38	G38	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.15	4.475104321	1.9	1.21	23.04	6.6307	-20.905	10.046	8.9485	No
39	G39	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.08	5.614122577	2.14	1.4	32.499	2.6637	-11.783	12.415	0.3987	No
40	G40	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.46	4.606470276	1.84	1.22	38.124	-7.1264	9.0472	2.5797	5.4809	No
41	G41	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.08	5.388228791	2	1.27	-0.30037	-22.31	-4.0993	17.369	7.3296	No
42	G42	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.13	2.817589127	1.26	0.72	4.8371	14.134	-32.38	1.5205	-1.2834	No
43	G43	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	3.1	3.942503816	1.52	0.94	38.099	-4.5576	12.26	-4.4133	19.972	No
44	G44	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.7	3.477252519	1.72	1.1	6.3721	16.703	-35.905	4.6147	-0.18478	No
45	G45	Lake_Erie	Round_Goby	Invertivore	Benthic	0.3	4.21775254	1.76	1.15	39.949	-4.4086	12.097	-6.9826	18.143	No
46	G46	Lake_Erie	Round_Goby	Invertivore	Benthic	0.48	2.894938082	1.36	0.77	8.9487	11.736	-22.805	-1.5446	4.2666	No
47	G47	Lake_Erie	Round_Goby	Invertivore	Benthic	0.18	4.907131102	1.95	1.27	37.386	-2.42	5.0448	-1.0373	18.017	No
48	G48	Lake_Erie	Round_Goby	Invertivore	Benthic	0.11	3.869269454	1.53	0.92	34.917	-0.15178	-0.52579	-0.96229	26.293	No
49	G49	Lake_Erie	Round_Goby	Invertivore	Benthic	0.18	5.510676887	2.1	1.36	37.05	-0.35948	-0.10116	5.0811	7.3106	No
50	G50	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.11	4.460945916	2.11	1.42	32.756	3.4687	-16.8	17.532	13.081	No
51	G51	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.06	5.15208348	2	1.32	36.46	1.3047	-10.832	13.018	7.7863	No
52	G52	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.85	4.330059224	1.87	1.25	17.711	12.881	-32.898	9.8467	5.4475	No
53	G53	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2	5.413504106	1.97	1.31	34.63	1.3529	-8.7451	9.7111	16.787	No
54	G54	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.78	4.265179812	1.91	1.3	38.315	-6.5149	15.545	-0.34905	2.0979	No
55	G55	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.74	5.246637113	2.06	1.35	3.7095	-24.565	-9.6123	12.971	11.761	No
56	G56	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.75	4.830864352	1.91	1.24	36.817	-4.3596	2.9047	2.9503	8.9745	No
57	G57	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.79	5.210843735	2.04	1.34	35.84	-3.0204	1.9559	6.2619	7.8229	No
58	G58	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.21	3.475105332	1.61	0.92	24.609	8.7002	-19.852	4.2286	15.428	No
59	G59	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.19	2.728365712	1.61	0.98	6.2397	12.276	-27.062	-1.3222	-1.2844	No
60	G60	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.2	4.065361227	1.89	1.2	26.112	6.2518	-18.058	4.4835	4.8081	No
61	G61	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.85	4.961313026	1.72	0.99	-8.0326	13.004	15.338	-6.0047	16.146	No
62	G62	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	3.32	5.373491046	2.39	1.59	18.106	12.142	-34.786	23.101	-6.4075	No
63	G63	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	3.74	3.203614411	1.71	1.09	-27.953	-25.573	-22.934	4.5147	-3.2466	No
64	G64	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	3	4.362790579	1.92	1.27	-27.412	-31.506	-19.285	18.48	1.4558	No
65	G65	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.38	6.446532523	2.31	1.55	19.9	11.147	-29.589	18.386	-5.9079	No
66	G66	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.35	6.120433168	2.25	1.49	25.669	9.0815	-24.277	18.172	-3.9159	No
67	G67	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.39	6.065464931	2.12	1.39	29.686	5.8261	-16.379	13.574	3.9795	No
68	G68	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.41	6.771744909	2.42	1.59	24.124	8.9249	-26.031	20.324	-11.017	No
69	G69	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.35	6.6317388	2.32	1.52	26.056	8.2623	-22.967	19.254	-4.9075	No
70	G70	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.22	4.890140283	2.26	1.49	16.954	13.199	-32.377	18.08	-7.9103	No
71	G71	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.43	6.55242389	2.41	1.58	10.674	4.3261	-28.97	20.994	-4.1306	No
72	G72	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.4	5.556664945	2.24	1.5	15.783	11.524	-34.177	22.941	-5.3934	No
73	G73	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.54	6.323965216	2.23	1.46	19.339	11.836	-29.839	18.08	-6.2639	No
74	G74	Lake_Erie	Freshwater_Drum	Invertivore_carnivores	Benthic	2.34	3.777963141	1.79	1.14	-27.925	-31.776	-15.812	19.806	-1.3104	No
75	G75	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	5.656585832	2.2	1.43	17.613	16.06	-33.417	20.6	1.9838	No
76	G76	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	5.057652226	1.86	1.26	34.837	3.7145	-12.407	16.749	21.412	No
77	G77	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.19	5.416256766	1.98	1.29	27.981	9.4631	-23.836	22.49	17.507	No
78	G78	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.17	5.014129924	1.97	1.28	32.484	1.228	-4.1751	12.546	10.542	No
79	G79	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	5.106196535	1.92	1.23	32.781	7.3903	-19.79	21.682	19.101	No
80	G80	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	3.511129171	1.41	0.94	19.53	7.9264	-16.4	1.6123	17.85	No
81	G81	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.16	2.720669605	1.38	0.89	5.9483	16.986	-34.384	1.8779	-1.7982	No
82	G82	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.19	4.796353572	2.09	1.34	26.486	9.7493	-22.416	20.811	6.3644	No
83	G83	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	5.810145296	2.07	1.34	24.926	11.313	-30.577	24.541	13.126	No
84	G84	Lake_Erie	White_Perch	Invertivore_carnivores	Benthopelagic	2.18	4.963095915	1.85	1.12	22.329	0.0053049	-0.51263	5.4902	14.008	No
85	G86	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.04	5.013425145	1.95	1.32	37.006	-5.2865	4.8878	3.4933	9.8173	No
86	G87	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.18	5.18777472	2.12	1.39	33.598	-1.6073	4.7066	3.5273	-12.703	No
87	G88	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.21	4.947762809	2.3	1.51	28.311	4.794	-6.1583	8.7534	-15.731	No
88	G89	Lake_Erie	White_Bass	Invertivore_carnivores	Benthopelagic	2.15	4.89225093	1.9	1.21	37.614	-1.9398	0.58831	3.4345	5.7311	No
89	G90	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.3	4.7809463	2.01	1.29	35.308	-7.5207	4.223	5.4481	-2.8748	No
90	G91	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.3	3.858339611	1.34	0.61	-34	-37.787	-10.651	9.128	0.76686	No
91	G97	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.57	5.155965793	1.7	1.05	20.064	9.6447	2.72	-6.7713	15.893	Yes
92	G98	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.43	4.535868696	1.76	0.91	-39.513	4.556	11.134	7.7081	3.2338	Yes
93	G99	Lake_Ontario	Rock_Bass	Invertivore_carnivores	Benthopelagic	3.14	5.449471324	2.08	1.31	3.8611	9.1125	6.7948	-4.0869	0.70302	Yes
94	G100	Lake_Ontario	Rock_Bass	Invertivore_carnivores	Benthopelagic	3.4	4.325224701	1.81	0.94	-23.546	28.502	18.224	10.832	3.0885	Yes
95	G102	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.74	3.889304269	1.81	1.13	3.3644	-0.83581	5.5672	-27.714	10.076	Yes
96	G103	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.65	5.325493524	1.99	1.06	-33.839	13.694	-3.3945	-20.278	1.7088	Yes
97	G104	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.44	3.734047911	1.87	1.03	-13.978	-5.0637	-16.215	-33.147	2.0226	Yes
98	G107	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.32	5.333014364	1.86	1.01	-36.602	-11.6	-2.236	-7.1791	2.4579	Yes
99	G108	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.74	4.378614653	1.72	1.02	-43.471	-17.408	2.8582	5.7407	0.71733	Yes
100	G109	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.54	4.922002736	1.84	1.22	15.89	-4.5511	10.961	-12.288	20.413	Yes
101	G110	Lake_Ontario	Rock_Bass	Invertivore_carnivores	Benthopelagic	3.26	4.510104903	1.69	1.04	21.43	4.4228	26.145	-2.1142	15.18	Yes
102	G111	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.98	4.315630024	1.85	1.18	-40.415	-24.5	-2.1577	-1.9734	1.9789	Yes
103	G112	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.57	5.577162741	2.1	1.32	-25.733	27.76	10.662	4.6857	0.16785	Yes
104	G113	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.34	4.836718148	2.01	1.17	-20.249	-10.268	3.6919	-5.4292	-1.3852	Yes
105	G114	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.72	2.810575575	1.54	0.79	-5.4476	13.308	-26.339	-39.859	-2.5266	Yes
106	G115	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.36	4.204033719	2.02	1.24	-25.627	18.943	3.5042	-9.088	1.3473	Yes
107	G117	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.42	4.539571122	1.88	1.08	-39.296	-19.52	-0.31358	15.755	-1.4428	Yes
108	G119	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.55	5.202804261	1.93	1.24	-21.242	-14.376	-15.082	-7.3321	0.58604	Yes
109	G120	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.55	4.327540906	1.8	1.02	-38.599	-23.629	-5.1604	10.436	-5.3089	Yes
110	G121	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.05	5.597150596	2.33	1.53	-14.168	-14.096	2.3036	-12.023	-7.1368	Yes
111	G122	Lake_Ontario	White_Sucker	Invertivore_detritivore	Benthic	3.53	5.743210004	2.37	1.48	-16.194	-10.443	10.591	11.365	-9.3666	Yes
112	G123	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.17	5.56609257	1.98	1.12	-12.409	-0.59124	12.445	-12.124	7.538	Yes
113	G124	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.38	5.062013302	2.22	1.46	-29.239	0.13602	-9.6815	-16.85	-1.8832	Yes
114	G125	Lake_Ontario	Alewife	Planktivore	Pelagic	2.6	2.616591473	1.6	1.08	-9.0479	5.4997	-16.916	-22.019	-0.95356	Yes
115	G126	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.35	2.948275777	1.68	0.89	-20.563	-1.1911	-18.622	-32.211	-0.99042	Yes
116	G127	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.54	4.535713005	1.71	1.07	-9.0093	24.519	1.0444	-7.7506	6.4243	Yes
117	G128	Lake_Ontario	Alewife	Planktivore	Pelagic	2.61	4.597016237	1.69	0.84	-33.665	-25.096	-9.2772	-3.1835	0.35938	Yes
118	G129	Lake_Ontario	Alewife	Planktivore	Pelagic	2.65	4.905333783	2.01	1.31	2.361	-15.669	12.474	-16.818	1.5499	Yes
119	G130	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.52	4.813967463	2.47	1.67	-32.157	20.644	14.217	9.0027	-4.1376	Yes
120	G131	Lake_Ontario	Alewife	Planktivore	Pelagic	2.56	3.164808956	1.83	0.88	-38.831	-11.422	-5.936	-0.11427	-1.2563	Yes
121	G132	Lake_Ontario	Alewife	Planktivore	Pelagic	2.41	3.351602386	1.51	0.8	-27.953	-5.565	-12.094	-12.319	5.4707	Yes
122	G133	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	3.17	4.563826169	1.68	0.79	-43.321	-11.846	-0.2059	-0.17635	1.2049	Yes
123	G134	Lake_Ontario	Alewife	Planktivore	Pelagic	2.48	3.583808773	1.48	0.78	-34.134	-27.157	-10.63	0.122	-1.2851	Yes
124	G135	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.53	2.581089844	1.85	1.19	-29.09	39.454	16.247	11.386	1.3799	Yes
125	G137	Lake_Ontario	Alewife	Planktivore	Pelagic	2.43	5.97462352	2.09	1.29	-3.1232	-8.1806	15.377	-11.808	2.7696	Yes
126	G138	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.51	4.249632288	1.81	0.94	-45.247	0.28534	15.433	18.969	0.30887	Yes
127	G139	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.52	3.935758999	2.07	1.23	-36.388	21.626	17.849	13.715	-1.9935	Yes
128	G140	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.75	4.23794532	1.96	1.17	-13.88	-0.67083	-13.874	-28.535	3.8546	Yes
129	G142	Lake_Ontario	Alewife	Planktivore	Pelagic	2.51	1.800891106	1.2	0.75	-8.4239	14.696	-20.995	-21.187	-1.4928	Yes
130	G144	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.54	4.984674972	1.92	1.27	-13.749	13.992	4.6115	-12.178	3.2743	Yes
131	G145	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.62	5.795390901	2.32	1.42	-11.255	32.945	0.040713	1.6475	-8.218	Yes
132	G146	Lake_Ontario	Alewife	Planktivore	Pelagic	2.46	4.273953928	2.12	1.3	-25.854	11.923	24.769	10.567	7.3419	Yes
133	G147	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.53	6.073368107	2.25	1.45	-6.0035	-7.4291	-0.037417	-18.924	-0.086057	Yes
134	G148	Lake_Ontario	Gizzard_Shad	Herbivore	Pelagic	2.31	6.629805538	2.43	1.61	-21.325	2.8815	-5.824	2.2016	-12.952	Yes
135	G149	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.55	4.749932564	1.68	1.02	26.156	2.391	6.0142	-7.6093	19.258	Yes
136	G150	Lake_Ontario	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.73	4.478268395	1.66	1.12	5.0308	8.1829	-16.165	-9.9189	6.9432	Yes
137	G151	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	2.81	4.612559596	1.63	1.05	18.002	4.3209	-6.3483	-5.3603	20.316	Yes
138	G152	Lake_Ontario	Gizzard_Shad	Herbivore	Pelagic	4	4.651709661	2.29	1.49	-23.972	23.624	13.515	7.9334	-1.4791	Yes
139	G153	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.49	3.41336369	1.91	0.95	-42.771	17.334	17.974	18.037	-0.88653	Yes
140	G154	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	2.75	3.857664099	1.85	0.95	-40.726	17.3	20.868	14.519	3.1376	Yes
141	G155	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	2.86	4.249406504	1.71	0.9	3.2046	16.079	28.121	0.57869	17.887	Yes
142	G156	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	2.49	5.322112099	2.1	1.28	-3.3247	11.811	-3.0282	11.438	7.392	Yes
143	G157	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	2.77	4.632121135	1.86	1.19	8.06	21.095	-30.203	9.4839	1.3009	Yes
144	G158	Lake_Ontario	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.55	3.964146723	1.68	1	4.0491	27.072	15.265	1.4085	20.491	Yes
145	G159	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	2.49	2.354336921	1.75	0.96	-27.281	14.942	20.274	8.4599	9.9909	Yes
146	G160	Lake_Ontario	Walleye	Invertivore_carnivores	Benthopelagic	3.18	4.548948316	2	1.14	-38.581	18.554	13.195	14.383	-2.6557	Yes
147	G161	Lake_Ontario	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.52	5.012722251	2.13	1.33	-10.224	13.274	21.323	3.9679	5.3014	Yes
148	G162	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	2.5	4.165393653	1.99	1.1	-40.137	17.249	18.46	18.251	0.60538	Yes
149	G163	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	2.5	3.895426376	1.76	0.82	-23.063	30.267	9.6066	-2.136	1.5902	Yes
150	G164	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	3.25	5.87993443	2.09	1.28	-5.8605	9.1103	23.309	-8.009	7.8467	Yes
151	G165	Lake_Ontario	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.54	5.377293957	1.95	1.25	3.1833	-19.869	21.679	-2.3732	5.9092	Yes
152	G166	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.55	5.082069126	1.94	1.11	-27.05	37.568	16.357	4.3427	2.627	Yes
153	G167	Lake_Ontario	Walleye	Invertivore_carnivores	Benthopelagic	3.53	6.778558612	2.41	1.56	-8.556	4.4936	15.977	3.7108	-1.0897	Yes
154	G168	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	2.78	5.416530855	2.09	1.17	-35.176	19.205	2.155	6.2419	5.2521	Yes
155	G169	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	2.88	4.759739101	2.03	1.14	-11.841	16.573	-12.979	-30.334	-2.2312	Yes
156	G170	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	4.81	4.447262859	1.94	1.04	-36.712	15.974	16.533	15.996	0.32121	Yes
157	G172	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	3.27	4.505418948	1.73	0.92	-5.9271	36.113	16.28	-3.6752	12.555	Yes
158	G173	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.19	3.930910371	1.98	1.1	-44.816	10.236	17.244	18.221	-1.0444	Yes
159	G174	Lake_Ontario	Walleye	Invertivore_carnivores	Benthopelagic	3.76	4.512268446	1.72	0.77	-21.362	42.525	14.97	9.2309	-0.098448	Yes
160	G175	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.08	3.962165511	2.12	1.31	-39.749	10.683	15.947	17.647	-0.22368	Yes
161	G176	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.19	4.545295884	2	1.13	-38.083	-4.9712	2.5252	20.621	-5.4146	Yes
162	G177	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	3.13	4.75913277	2.04	1.08	-29.678	19.323	8.7202	-9.2725	1.3183	Yes
163	G178	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.81	4.453405008	1.87	1.01	-13.404	17.197	-20.014	-33.977	-4.7817	Yes
164	G179	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	2.95	5.010782032	1.79	1.05	-25.361	26.6	6.945	-15.134	3.5949	Yes
165	G180	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	3.08	4.837312079	1.89	1.04	-27.158	42.478	10.499	-1.7474	0.11898	Yes
166	G181	Lake_Ontario	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.7	5.815558127	2.18	1.39	-30.197	16.092	8.1799	-0.59511	-4.2815	Yes
