Sample	observed_features	faith_pd	chao1	shannon_entropy	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype	Preservation
G34	91	18.53966689	91	5.090460472	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G35	70	14.71995734	70	4.969722361	Lake_Erie	2	11	75	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G36	121	21.47959037	121	5.786285885	Lake_Erie	2	15.2	99	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G37	44	9.179186756	44	4.71526626	Lake_Erie	2	15.1	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G38	80	16.03783676	80	4.475104321	Lake_Erie	2	14	90	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G39	139	24.90497904	139	5.614122577	Lake_Erie	2	12	80	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G40	69	16.49205817	69	4.606470276	Lake_Erie	2	29	130	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G41	101	18.71255039	101	5.388228791	Lake_Erie	2	12	80	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G42	18	5.231517807	18	2.817589127	Lake_Erie	2	13.5	90	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G43	33	8.640744176	33	3.942503816	Lake_Erie	2	125	250	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G44	53	12.64463807	53	3.477252519	Lake_Erie	2	50	170	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G45	57	14.08392258	57	4.21775254	Lake_Erie	2	0.2	34	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Dry_Ice
G46	23	5.848634309	23	2.894938082	Lake_Erie	2	0.3	45	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Dry_Ice
G47	89	18.76377446	89	4.907131102	Lake_Erie	2	0.15	35	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Dry_Ice
G48	34	8.274752252	34	3.869269454	Lake_Erie	2	0.13	30	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Dry_Ice
G49	125	22.66601312	125	5.510676887	Lake_Erie	2	0.15	33	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Dry_Ice
G50	128	26.37973584	128	4.460945916	Lake_Erie	2	13	100	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G51	101	20.96381241	101	5.15208348	Lake_Erie	2	11.5	90	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G52	74	17.6071184	74	4.330059224	Lake_Erie	2	7	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G53	94	20.347742	94	5.413504106	Lake_Erie	2	10	85	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G54	81	19.75279043	81	4.265179812	Lake_Erie	2	6	70	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G55	116	22.35667769	116	5.246637113	Lake_Erie	2	5.5	70	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G56	81	17.46218931	81	4.830864352	Lake_Erie	2	5.6	70	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G57	110	21.95994225	110	5.210843735	Lake_Erie	2	6.2	70	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G58	41	8.333634837	41	3.475105332	Lake_Erie	2	16.2	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G59	41	9.493367909	41	2.728365712	Lake_Erie	2	15.5	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G60	78	15.93069999	78	4.065361227	Lake_Erie	2	16	100	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G61	52	9.668500357	52	4.961313026	Lake_Erie	2	7000	1320	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G62	248	38.76395817	248	5.373491046	Lake_Erie	2	209	250	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G63	51	12.21340776	51	3.203614411	Lake_Erie	2	544	350	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G64	84	18.64656085	84	4.362790579	Lake_Erie	2	100	200	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G65	203	35.71353856	203	6.446532523	Lake_Erie	2	24	125	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G66	179	30.98257409	179	6.120433168	Lake_Erie	2	22.5	125	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G67	131	24.81485275	131	6.065464931	Lake_Erie	2	24.5	125	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G68	261	38.77030057	261	6.771744909	Lake_Erie	2	26	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G69	207	33.45627829	207	6.6317388	Lake_Erie	2	22.6	120	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G70	184	30.70636957	184	4.890140283	Lake_Erie	2	16.5	120	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G71	256	37.71748614	256	6.55242389	Lake_Erie	2	27	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G72	173	31.53602449	173	5.556664945	Lake_Erie	2	25	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G73	169	28.51572733	169	6.323965216	Lake_Erie	2	35	150	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G74	61	13.66158762	61	3.777963141	Lake_Erie	2	22	100	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G75	159	26.71957532	159	5.656585832	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G76	72	18.13918922	72	5.057652226	Lake_Erie	2	15.2	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G77	95	19.58208697	95	5.416256766	Lake_Erie	2	15.5	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G78	93	19.12152135	93	5.014129924	Lake_Erie	2	14.9	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G79	84	17.07286032	84	5.106196535	Lake_Erie	2	15.3	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G80	26	8.750570579	26	3.511129171	Lake_Erie	2	15.1	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G81	24	7.719076147	24	2.720669605	Lake_Erie	2	14.4	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G82	124	22.12885982	124	4.796353572	Lake_Erie	2	15.6	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G83	118	21.70367831	118	5.810145296	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G84	70	13.23416941	70	4.963095915	Lake_Erie	2	15.2	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G86	89	21.12224864	89	5.013425145	Lake_Erie	2	11	90	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G87	132	24.39175195	132	5.18777472	Lake_Erie	2	15	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G88	201	32.12048699	201	4.947762809	Lake_Erie	2	16.2	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G89	79	16.10371654	79	4.89225093	Lake_Erie	2	14	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G90	102	19.30353793	102	4.7809463	Lake_Erie	2	20	150	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G91	22	4.085832295	22	3.858339611	Lake_Erie	2	20	150	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G97	50	11.31980409	50	5.155965793	Lake_Ontario	3	37.3	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G98	58	8.082089821	58	4.535868696	Lake_Ontario	3	2671.82	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G99	121	20.62014447	121	5.449471324	Lake_Ontario	3	138.93	190	Gut	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass	RNA_Later
G100	65	8.784125521	65	4.325224701	Lake_Ontario	3	249.95	216	Gut	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass	RNA_Later
G102	65	13.54751425	65	3.889304269	Lake_Ontario	3	5493.44	785	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G103	97	11.49456361	97	5.325493524	Lake_Ontario	3	4455.76	658	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G104	74	10.72093994	74	3.734047911	Lake_Ontario	3	2730.25	642	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G107	73	10.31037758	73	5.333014364	Lake_Ontario	3	2084.99	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G108	52	10.35316548	52	4.378614653	Lake_Ontario	3	54.33	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G109	69	16.6103819	69	4.922002736	Lake_Ontario	3	3448.13	665	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G110	49	10.94732792	49	4.510104903	Lake_Ontario	3	181.69	203	Gut	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass	RNA_Later
G111	70	15.20587575	70	4.315630024	Lake_Ontario	3	95.44	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G112	125	20.91511398	125	5.577162741	Lake_Ontario	3	37.38	140	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G113	103	14.86342562	103	4.836718148	Lake_Ontario	3	2210.65	536	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G114	35	6.143934503	35	2.810575575	Lake_Ontario	3	5285.86	756	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G115	104	17.19392032	104	4.204033719	Lake_Ontario	3	2271.21	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G117	75	11.99739285	75	4.539571122	Lake_Ontario	3	2602.86	617	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G119	85	17.37750497	85	5.202804261	Lake_Ontario	3	35.58	135	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G120	63	10.52501855	63	4.327540906	Lake_Ontario	3	35.5	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G121	216	33.61248846	216	5.597150596	Lake_Ontario	3	1132.3	497	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G122	236	30.15949946	236	5.743210004	Lake_Ontario	3	337.57	NA	Gut	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioGut	GutWhite_Sucker	RNA_Later
G123	95	13.27534001	95	5.56609257	Lake_Ontario	3	1470.23	424	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G124	166	28.574005	166	5.062013302	Lake_Ontario	3	2419.53	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G125	40	12.13697428	40	2.616591473	Lake_Ontario	3	40	152	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G126	48	7.740120135	48	2.948275777	Lake_Ontario	3	2263.25	612	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G127	51	11.62131056	51	4.535713005	Lake_Ontario	3	3429.9	677	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G128	49	6.946467134	49	4.597016237	Lake_Ontario	3	41	153	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G129	103	20.21772931	103	4.905333783	Lake_Ontario	3	45	160	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G130	292	46.52394137	292	4.813967463	Lake_Ontario	3	33.22	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G131	67	7.546845548	67	3.164808956	Lake_Ontario	3	36	150	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G132	32	6.282913339	32	3.351602386	Lake_Ontario	3	26	140	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G133	48	6.126262148	48	4.563826169	Lake_Ontario	3	146.6	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G134	30	6.070067845	30	3.583808773	Lake_Ontario	3	30	130	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G135	71	15.45161764	71	2.581089844	Lake_Ontario	3	33.94	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G137	124	19.33826802	124	5.97462352	Lake_Ontario	3	27	125	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G138	65	8.732039275	65	4.249632288	Lake_Ontario	3	32.62	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G139	117	16.84295489	117	3.935758999	Lake_Ontario	3	32.76	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G140	91	14.89749061	91	4.23794532	Lake_Ontario	3	5582.8	770	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G142	16	5.65622016	16	1.800891106	Lake_Ontario	3	32	135	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G144	84	18.41642	84	4.984674972	Lake_Ontario	3	34.55	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G145	207	26.32936909	207	5.795390901	Lake_Ontario	3	41.44	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G146	131	19.78022519	131	4.273953928	Lake_Ontario	3	29	130	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G147	178	27.96070965	178	6.073368107	Lake_Ontario	3	3386.75	673	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G148	269	40.94665942	269	6.629805538	Lake_Ontario	3	20.57	NA	Gut	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioGut	GutGizzard_Shad	RNA_Later
G149	48	10.38034764	48	4.749932564	Lake_Ontario	3	355.62	320	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G150	46	13.0914875	46	4.478268395	Lake_Ontario	3	53.24	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	RNA_Later
G151	43	11.16330237	43	4.612559596	Lake_Ontario	3	64.24	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G152	195	30.90237516	195	4.651709661	Lake_Ontario	3	992.63	NA	Gut	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioGut	GutGizzard_Shad	RNA_Later
G153	82	8.960577096	82	3.41336369	Lake_Ontario	3	30.63	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G154	71	8.952306078	71	3.857664099	Lake_Ontario	3	56.28	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G155	51	7.921600809	51	4.249406504	Lake_Ontario	3	72.59	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G156	125	18.94492198	125	5.322112099	Lake_Ontario	3	31.18	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G157	72	15.59562299	72	4.632121135	Lake_Ontario	3	58.55	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G158	48	10.01012597	48	3.964146723	Lake_Ontario	3	35.39	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	RNA_Later
G159	56	9.037336695	56	2.354336921	Lake_Ontario	3	31.07	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G160	100	13.77326829	100	4.548948316	Lake_Ontario	3	150.58	NA	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	RNA_Later
G161	136	21.53975369	136	5.012722251	Lake_Ontario	3	33.14	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	RNA_Later
G162	98	12.72512802	98	4.165393653	Lake_Ontario	3	31.31	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G163	58	6.55180311	58	3.895426376	Lake_Ontario	3	31.31	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G164	123	18.84886678	123	5.87993443	Lake_Ontario	3	179.61	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G165	90	17.65447308	90	5.377293957	Lake_Ontario	3	35.05	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	RNA_Later
G166	87	12.97560762	87	5.082069126	Lake_Ontario	3	35.29	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G167	257	36.15653805	257	6.778558612	Lake_Ontario	3	340.82	NA	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	RNA_Later
G168	124	14.79060113	124	5.416530855	Lake_Ontario	3	59.75	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G169	108	13.84439404	108	4.759739101	Lake_Ontario	3	75.75	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
