	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype
G53	Lake_Erie	2	10	85	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G54	Lake_Erie	2	6	70	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G55	Lake_Erie	2	5.5	70	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G56	Lake_Erie	2	5.6	70	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G57	Lake_Erie	2	6.2	70	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G58	Lake_Erie	2	16.2	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G59	Lake_Erie	2	15.5	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G60	Lake_Erie	2	16	100	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G61	Lake_Erie	2	7000	1320	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G62	Lake_Erie	2	209	250	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G63	Lake_Erie	2	544	350	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G64	Lake_Erie	2	100	200	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G65	Lake_Erie	2	24	125	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G66	Lake_Erie	2	22.5	125	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G67	Lake_Erie	2	24.5	125	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G68	Lake_Erie	2	26	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G69	Lake_Erie	2	22.6	120	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G70	Lake_Erie	2	16.5	120	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G71	Lake_Erie	2	27	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G72	Lake_Erie	2	25	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G73	Lake_Erie	2	35	150	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G74	Lake_Erie	2	22	100	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G75	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G76	Lake_Erie	2	15.2	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G77	Lake_Erie	2	15.5	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G78	Lake_Erie	2	14.9	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G79	Lake_Erie	2	15.3	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G80	Lake_Erie	2	15.1	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G81	Lake_Erie	2	14.4	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G82	Lake_Erie	2	15.6	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G83	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G84	Lake_Erie	2	15.2	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G86	Lake_Erie	2	11	90	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G87	Lake_Erie	2	15	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G88	Lake_Erie	2	16.2	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G89	Lake_Erie	2	14	110	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G90	Lake_Erie	2	20	150	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G91	Lake_Erie	2	20	150	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G97	Lake_Ontario	3	37.3	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G98	Lake_Ontario	3	2671.82	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G99	Lake_Ontario	3	138.93	190	Gut	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass
G100	Lake_Ontario	3	249.95	216	Gut	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass
G102	Lake_Ontario	3	5493.44	785	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G103	Lake_Ontario	3	4455.76	658	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G104	Lake_Ontario	3	2730.25	642	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G107	Lake_Ontario	3	2084.99	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G108	Lake_Ontario	3	54.33	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G109	Lake_Ontario	3	3448.13	665	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G110	Lake_Ontario	3	181.69	203	Gut	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass
G111	Lake_Ontario	3	95.44	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G112	Lake_Ontario	3	37.38	140	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G113	Lake_Ontario	3	2210.65	536	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G114	Lake_Ontario	3	5285.86	756	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G115	Lake_Ontario	3	2271.21	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G117	Lake_Ontario	3	2602.86	617	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G119	Lake_Ontario	3	35.58	135	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G120	Lake_Ontario	3	35.5	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G121	Lake_Ontario	3	1132.3	497	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G122	Lake_Ontario	3	337.57	NA	Gut	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioGut	GutWhite_Sucker
G123	Lake_Ontario	3	1470.23	424	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G124	Lake_Ontario	3	2419.53	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G125	Lake_Ontario	3	40	152	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G126	Lake_Ontario	3	2263.25	612	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G127	Lake_Ontario	3	3429.9	677	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G128	Lake_Ontario	3	41	153	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G129	Lake_Ontario	3	45	160	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G130	Lake_Ontario	3	33.22	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G131	Lake_Ontario	3	36	150	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G132	Lake_Ontario	3	26	140	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G133	Lake_Ontario	3	146.6	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G134	Lake_Ontario	3	30	130	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G135	Lake_Ontario	3	33.94	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G137	Lake_Ontario	3	27	125	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G138	Lake_Ontario	3	32.62	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G139	Lake_Ontario	3	32.76	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G140	Lake_Ontario	3	5582.8	770	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G142	Lake_Ontario	3	32	135	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G144	Lake_Ontario	3	34.55	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G145	Lake_Ontario	3	41.44	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G146	Lake_Ontario	3	29	130	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G147	Lake_Ontario	3	3386.75	673	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G148	Lake_Ontario	3	20.57	NA	Gut	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioGut	GutGizzard_Shad
G149	Lake_Ontario	3	355.62	320	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G150	Lake_Ontario	3	53.24	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed
G151	Lake_Ontario	3	64.24	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G152	Lake_Ontario	3	992.63	NA	Gut	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioGut	GutGizzard_Shad
G153	Lake_Ontario	3	30.63	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G154	Lake_Ontario	3	56.28	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G155	Lake_Ontario	3	72.59	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G156	Lake_Ontario	3	31.18	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G157	Lake_Ontario	3	58.55	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G158	Lake_Ontario	3	35.39	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed
G159	Lake_Ontario	3	31.07	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G160	Lake_Ontario	3	150.58	NA	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye
G161	Lake_Ontario	3	33.14	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed
G162	Lake_Ontario	3	31.31	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G163	Lake_Ontario	3	31.31	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G164	Lake_Ontario	3	179.61	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G165	Lake_Ontario	3	35.05	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed
G166	Lake_Ontario	3	35.29	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G167	Lake_Ontario	3	340.82	NA	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye
G168	Lake_Ontario	3	59.75	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G169	Lake_Ontario	3	75.75	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G170	Lake_Ontario	3	NA	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G172	Lake_Ontario	3	185.86	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G173	Lake_Ontario	3	154.32	241	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G174	Lake_Ontario	3	578.84	411	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye
G175	Lake_Ontario	3	121.43	224	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G176	Lake_Ontario	3	153.7	242	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G177	Lake_Ontario	3	135.66	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G178	Lake_Ontario	3	NA	NA	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G179	Lake_Ontario	3	89.32	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G180	Lake_Ontario	3	120.98	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G181	Lake_Ontario	3	50.14	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed
G182	Lake_Ontario	3	64.76	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G183	Lake_Ontario	3	66.41	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G184	Lake_Ontario	3	71.42	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass
G185	Lake_Ontario	3	NA	NA	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G194	Lake_Ontario	3	1437.55	457	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G195	Lake_Ontario	3	2807.94	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G196	Lake_Ontario	3	36.07	137	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G197	Lake_Ontario	3	1308.25	489	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye
G198	Lake_Ontario	3	2335.69	588	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye
G199	Lake_Ontario	3	NA	NA	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G200	Lake_Ontario	3	2686.56	537	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G201	Lake_Ontario	3	6070.08	845	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G202	Lake_Ontario	3	3444.35	663	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G203	Lake_Ontario	3	3550.77	675	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G204	Lake_Ontario	3	97.61	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G205	Lake_Ontario	3	1707.33	491	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G207	Lake_Ontario	3	2613.71	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G208	Lake_Ontario	3	4963.61	752	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye
G209	Lake_Ontario	3	1732.75	551	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G210	Lake_Ontario	3	6430.43	836	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G211	Lake_Ontario	3	2768.91	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G213	Lake_Ontario	3	2811.34	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G214	Lake_Ontario	3	2278.18	558	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G215	Lake_Ontario	3	2602.86	617	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G216	Lake_Ontario	3	1481.82	460	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout
G217	Lake_Ontario	3	92.58	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch
G218	Lake_Ontario	3	150.6	238	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G219	Lake_Ontario	3	167.28	250	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G220	Lake_Ontario	3	119.42	225	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G221	Lake_Ontario	3	183.59	262	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G222	Lake_Ontario	3	708.1	407	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G223	Lake_Ontario	3	337.57	NA	Gut	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioGut	GutWhite_Sucker
G224	Lake_Ontario	3	64.02	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G225	Lake_Ontario	3	77.41	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch
G226	Lake_Ontario	3	139.44	230	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum
G227	Lake_Ontario	3	39	154	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G228	Lake_Ontario	3	33	150	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G229	Lake_Ontario	3	34	148	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G230	Lake_Ontario	3	5635.09	768	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G231	Lake_Ontario	3	42.61	145	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G232	Lake_Ontario	3	2928.81	641	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G234	Lake_Ontario	3	2158.52	584	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout
G235	Lake_Ontario	3	45.41	147	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G236	Lake_Ontario	3	26	130	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
